AbstractionError;TopLevelViolation Abstracted;topLevelViolationActualRegioCentral;relativeTLViolationRegioCentral;topLevelViolationAbstractedRel;abstractionErrorRel;variableAbstraction;runtimePerStepRegioCentral;runtimePerAvppPerStep;Totalruntimeregiocentral;timestamps;Toplevelcostsregiocentral;Rootcostsregiocentral;Longest serial path;FixedAbstractionTimes;FixedAbstractionTimesPerAVPP
0.0;2.9103830456733704E-11;2.9103830456733704E-11;2.0095221205867506E-16;2.0095221205867506E-16;0.0;0.0023905600000000003;30.938047840000003;4.506985328;3781.232888256;1.431362963268E12;124311.66859920819;98499.23712476491;6.381273248;2924.82951528;8.665021704E10
0.0;0.0;0.0;0.0;0.0;0.0;0.00233408;34.396899584;0.279306752;4070.35220032;1.431366744829E12;96981.60168923684;96610.53222285748;6.755715776000001;2924.83190584;9.0189938496E10
0.0;0.0;2.9103830456733704E-11;2.219919811813496E-16;0.0;0.0;0.002592192;36.677275568;1.2304717600000001;4045.4078825120005;1.431370815379E12;74110.73343353554;72717.5295380329;8.104142320000001;2924.83423992;7.3754684832E10
1.8189894035458565E-12;2.9103830456733704E-11;0.0;0.0;2.1891874101691359E-16;1.117701419648099E-16;0.008596944;39.884533264000005;1.167056144;3952.5478345280003;1.431374860984E12;76054.83795929339;76067.22944019102;8.098919184;2924.836832112;1.00361080784E11
0.0;0.0;5.820766091346741E-11;4.243217651689724E-16;0.0;0.0;0.002273296;38.74663872;0.20849352000000002;3867.4342870080004;1.431378813753E12;83870.12947720411;83891.83298343397;8.582611568;2924.8454290560003;1.02876045424E11
0.0;2.9103830456733704E-11;0.0;0.0;2.1496914372451474E-16;0.0;0.002530048;38.358933088;1.465090704;;;81339.57195092029;80550.63774706889;9.148098496000001;2924.8477023520004;7.5381962256E10
0.0;0.0;2.9103830456733704E-11;2.2062446068761468E-16;0.0;0.0;0.0025391040000000004;35.327459152;1.125428624;;;74540.92248724095;74195.19535869738;7.263859856000001;2924.8502324;9.673026784E10
0.0;2.9103830456733704E-11;0.0;0.0;2.3200981504086786E-16;0.0;0.002549168;34.923952816;0.211258256;;;63467.07775853327;62814.840767545495;7.101978160000001;2924.852771504;8.6309746352E10
0.0;0.0;0.0;0.0;0.0;0.0;0.002271968;35.89913456;1.25784392;;;64854.893189137074;64935.49566569031;7.547211664000001;2924.8553206720003;7.1098482928E10
0.0;0.0;0.0;0.0;0.0;0.0;0.002287472;36.402748128;1.0193247840000002;;;70764.64078600444;70616.83169263511;7.2784151040000005;2924.8575926400003;8.6859538016E10
