AbstractionError;TopLevelViolation Abstracted;topLevelViolationActualRegioCentral;relativeTLViolationRegioCentral;topLevelViolationAbstractedRel;abstractionErrorRel;variableAbstraction;runtimePerStepRegioCentral;runtimePerAvppPerStep;Totalruntimeregiocentral;timestamps;Toplevelcostsregiocentral;Rootcostsregiocentral;Longest serial path;FixedAbstractionTimes;FixedAbstractionTimesPerAVPP
0.0;0.0;5.820766091346741E-11;4.019044241173501E-16;0.0;0.0;0.0022735200000000002;34.146559232;3.3381345600000003;2791.116664048;1.431480225301E12;115602.79511919412;98911.46310747048;7.554547392000001;1877.709036768;5.7060898768E10
0.0;0.0;5.820766091346741E-11;4.0460182022727194E-16;0.0;0.0;0.002299712;35.075855888;0.254835776;2950.723109456;1.431483016611E12;97568.6840192875;97018.95134034278;6.807862704000001;1877.711310288;5.7277307568E10
1.8189894035458565E-12;0.0;0.0;0.0;0.0;1.6945018031543901E-16;0.0025485440000000002;34.849070992;1.1093173920000001;2834.0151066400003;1.431485967526E12;74521.68559043738;73367.5862413788;6.800664192;1877.71361;4.3484057424E10
0.0;2.9103830456733704E-11;2.9103830456733704E-11;2.1891874101691359E-16;2.1891874101691359E-16;0.0;0.002502976;37.989345872;0.8501040480000001;2857.846150032;1.431488801705E12;76580.08454046228;76647.88277003766;10.919292336;1877.716158544;6.610912096E10
0.0;0.0;0.0;0.0;0.0;0.0;0.002276624;36.909832736000006;0.19329932800000002;2815.2021167840003;1.431491659753E12;84334.80461397867;84330.35255406576;8.755855872;1877.71866152;7.0475486752E10
0.0;2.9103830456733704E-11;0.0;0.0;2.1496914372451474E-16;0.0;0.00256096;37.103799968000004;1.913254368;;;81067.11158296173;81049.99006258557;9.214377200000001;1877.7209381440002;4.4561217088E10
0.0;0.0;2.9103830456733704E-11;2.2062446068761468E-16;0.0;0.0;0.0023523520000000003;35.74625;1.23673312;;;76169.84759547331;74813.1454333784;8.409682336000001;1877.7234991040002;6.4651664912E10
0.0;1.4551915228366852E-11;4.3655745685100555E-11;3.480147225613018E-16;1.1600490752043393E-16;0.0;0.002294112;33.51986864;0.169124656;;;63516.1741137931;63504.16335837567;6.459052432;1877.725851456;5.692911808E10
1.8189894035458565E-12;1.4551915228366852E-11;4.3655745685100555E-11;3.44641233512082E-16;1.14880411170694E-16;1.1861852323062708E-16;0.002250048;33.46139952;1.044759664;;;65478.944513130955;65602.02152409511;5.754662384;1877.7281455680002;4.1917723168E10
0.0;2.9103830456733704E-11;4.3655745685100555E-11;3.360088449970018E-16;2.2400589666466786E-16;0.0;0.002397104;34.777397488000005;1.0797425280000001;;;71155.56417086652;71276.46468058406;6.01089288;1877.7303956160001;5.5419288384E10
