AbstractionError;TopLevelViolation Abstracted;topLevelViolationActualRegioCentral;relativeTLViolationRegioCentral;topLevelViolationAbstractedRel;abstractionErrorRel;variableAbstraction;runtimePerStepRegioCentral;runtimePerAvppPerStep;Totalruntimeregiocentral;timestamps;Toplevelcostsregiocentral;Rootcostsregiocentral;Longest serial path;FixedAbstractionTimes;FixedAbstractionTimesPerAVPP
0.0;2.9103830456733704E-11;0.0;0.0;2.0095221205867506E-16;0.0;0.022871424;26.00632248;3.4532953440000003;3688.074255552;1.431514312694E12;116801.3659700951;98454.70611305225;5.314888064000001;2963.339551472;9.2669043984E10
0.0;2.9103830456733704E-11;5.820766091346741E-11;4.0460182022727194E-16;2.0230091011363597E-16;0.0;0.017118656;30.228900064;0.21653102400000002;4055.0848260800003;1.431518001057E12;96925.33806727338;96550.68611815471;5.659300176;2963.362422896;9.5728079408E10
0.0;0.0;0.0;0.0;0.0;0.0;0.015225120000000002;32.575734992;0.922369152;4176.571135728001;1.431522056318E12;73952.15676284408;72670.81104536464;9.154523696;2963.3795415520003;8.0109941936E10
0.0;0.0;0.0;0.0;0.0;0.0;0.014364096000000002;34.773494896;0.97338736;4043.048538496;1.431526233042E12;75997.18563530552;76021.66757828218;10.249174864;2963.394766672;1.06916452912E11
0.0;2.9103830456733704E-11;0.0;0.0;2.121608825844862E-16;0.0;0.005781616000000001;36.625096208;0.195821552;4088.7165181920004;1.431530276245E12;83778.03594809142;83820.38327682887;11.517850560000001;2963.409130768;1.08821355888E11
0.0;2.9103830456733704E-11;2.9103830456733704E-11;2.1496914372451474E-16;2.1496914372451474E-16;0.0;0.005027264;32.029435696;1.665771168;;;81082.15534400508;80487.36331753284;7.18081512;2963.414912384;7.5364077312E10
0.0;0.0;0.0;0.0;0.0;0.0;0.004861568;29.464038864000003;0.99957872;;;74372.30772419575;74147.40725783071;5.904832304;2963.4199396480003;9.7560407984E10
0.0;2.9103830456733704E-11;0.0;0.0;2.3200981504086786E-16;0.0;0.004177568;29.84919584;0.18864966400000002;;;63031.49818821814;62692.39543709355;6.722808336000001;2963.424801216;8.7253689344E10
0.0;1.4551915228366852E-11;0.0;0.0;1.14880411170694E-16;0.0;0.004303712;31.495737472000002;0.93797224;;;64806.11868485231;64843.12860751295;6.903959536;2963.4289787840003;7.1586232912E10
0.0;2.9103830456733704E-11;1.4551915228366852E-11;1.1200294833233393E-16;2.2400589666466786E-16;0.0;0.002903552;30.603735888000003;1.0682698720000001;;;70527.77862098326;70551.22016716003;6.288396752000001;2963.433282496;8.7789506176E10
