topLevelViolationActualCentral;relativeTLViolationCentral;runtimePerStepCentral;unsolvedCentralAllocations;Totalruntimecentral;timestamps;Toplevelcostscentral
2.9103830456733704E-11;2.0095221067116728E-16;35.120817056;0.0;6019.399191760001;1.431432143604E12;110392.41233696863
8.731149137020111E-11;6.069027261223233E-16;1802.057983376;0.0;3147.913244496;1.431438163248E12;96168.02284641445
2.9103830456733704E-11;2.219919794880866E-16;16.462481312;0.0;4508.476405008;1.431441311296E12;72566.75767870461
8.731149137020111E-11;6.567562181106267E-16;1802.139302928;0.0;4134.697016672;1.431445819899E12;75600.75029404834
2.9103830456733704E-11;2.1216088103787744E-16;1802.576911696;0.0;8371.182531856;1.431449954757E12;83458.63542812545
0.0;0.0;48.533481232;0.0;;;80100.45390449742
2.9103830456733704E-11;2.206244590151492E-16;17.207082608;0.0;;;73794.47274481395
7.275957614183426E-11;5.800245329783321E-16;6.596064816;0.0;;;62146.9446873814
1.4551915228366852E-11;1.148804102637681E-16;21.278901936;0.0;;;64236.502904816276
2.9103830456733704E-11;2.240058949405429E-16;24.965991296000002;0.0;;;70103.54257737253
0.0;0.0;43.054108592000006;0.0;;;75749.18238384284
7.275957614183426E-11;5.583060148800964E-16;16.0762852;0.0;;;70852.45564853658
2.9103830456733704E-11;2.3685472956550535E-16;87.82801894400001;0.0;;;57784.021661741644
1.4551915228366852E-11;1.1310546692984297E-16;98.400905232;0.0;;;67803.80589299374
1.4551915228366852E-11;1.110719012390203E-16;35.798949424;0.0;;;72082.88802512297
1.4551915228366852E-11;1.1232186335875835E-16;81.897927264;0.0;;;69465.67491876121
4.3655745685100555E-11;3.59420239758436E-16;19.117425568;0.0;;;55466.958229466625
0.0;0.0;9.369846144;0.0;;;68280.9443111555
0.0;0.0;7.696994528;0.0;;;74980.07725614877
2.9103830456733704E-11;2.1809668050071912E-16;8.520012384000001;0.0;;;76518.14018569142
5.820766091346741E-11;4.3905578099518945E-16;7.949630896;0.0;;;74929.49013481104
8.731149137020111E-11;6.53010128935943E-16;10.695703424000001;0.0;;;76997.7518828522
2.9103830456733704E-11;2.1450509052289552E-16;7.0222052;0.0;;;80640.79987187103
5.820766091346741E-11;4.380012921746245E-16;8.988281776000001;0.0;;;75523.95914934862
