AbstractionError;TopLevelViolation Abstracted;topLevelViolationActualRegioCentral;relativeTLViolationRegioCentral;topLevelViolationAbstractedRel;abstractionErrorRel;variableAbstraction;runtimePerStepRegioCentral;runtimePerAvppPerStep;Totalruntimeregiocentral;timestamps;Toplevelcostsregiocentral;Rootcostsregiocentral;Longest serial path;FixedAbstractionTimes;FixedAbstractionTimesPerAVPP
0.0;0.0;5.820766091346741E-11;4.019044241173501E-16;0.0;0.0;0.027491920000000003;28.981134112000003;3.6488088000000003;3118.055841312;1.431433803489E12;115978.59146990608;98518.63418053635;7.266265408000001;2374.027768928;7.1568992528E10
0.0;2.9103830456733704E-11;5.820766091346741E-11;4.0460182022727194E-16;2.0230091011363597E-16;0.0;0.017344848;30.349515728000004;0.19869841600000002;3350.7868378400003;1.431436921794E12;96952.51346580284;96620.92834462982;6.085546336;2374.055260848;7.3268046E10
0.0;0.0;2.9103830456733704E-11;2.219919811813496E-16;0.0;0.0;0.015536912000000002;29.783488976;1.018145904;3446.387993872;1.431440272843E12;73729.66764858924;72697.45725526902;6.100813552;2374.072605696;5.8659691728E10
0.0;2.9103830456733704E-11;2.9103830456733704E-11;2.1891874101691359E-16;2.1891874101691359E-16;0.0;0.014116688;32.143586320000004;0.9587460800000001;3283.993161712;1.431443719534E12;75945.70570985165;76027.61927082084;7.224798704;2374.088142608;8.3537517744E10
0.0;0.0;2.9103830456733704E-11;2.121608825844862E-16;0.0;0.0;0.004647888;30.038533696000002;0.197641232;3114.801731024;1.431447003683E12;83883.42913290185;83844.20192182467;5.5281184;2374.1022592960003;8.4335206576E10
0.0;0.0;0.0;0.0;0.0;0.0;0.00496992;33.253516144;1.5161502400000002;;;80875.47460571236;80488.99080727072;7.099129744000001;2374.106907184;6.036607312E10
0.0;2.9103830456733704E-11;0.0;0.0;2.2062446068761468E-16;0.0;0.00472776;29.947109008;1.01973688;;;74381.8491061366;74144.26850428614;6.32516576;2374.111877104;7.9541100848E10
0.0;2.9103830456733704E-11;0.0;0.0;2.3200981504086786E-16;0.0;0.004333936;29.663295344;0.165991456;;;63028.368286918;62705.4448697085;6.449593008000001;2374.1166048640002;7.0988118016E10
0.0;1.4551915228366852E-11;1.4551915228366852E-11;1.14880411170694E-16;1.14880411170694E-16;0.0;0.003882832;31.133824624000003;0.9148724960000001;;;64727.58434025933;64833.32450716191;6.801205536;2374.1209388;5.7380635664E10
1.8189894035458565E-12;2.9103830456733704E-11;0.0;0.0;2.2400589666466786E-16;1.720511758201651E-16;0.00423296;31.665568752000002;0.856551056;;;70488.19099447073;70571.62716089076;6.8664649120000005;2374.124821632;7.1194110064E10
