AbstractionError;TopLevelViolation Abstracted;topLevelViolationActualRegioCentral;relativeTLViolationRegioCentral;topLevelViolationAbstractedRel;abstractionErrorRel;variableAbstraction;runtimePerStepRegioCentral;runtimePerAvppPerStep;Totalruntimeregiocentral;timestamps;Toplevelcostsregiocentral;Rootcostsregiocentral;Longest serial path;FixedAbstractionTimes;FixedAbstractionTimesPerAVPP
0.0;2.9103830456733704E-11;1.0186340659856796E-10;9.79563631897887E-16;2.7987532339939627E-16;0.0;9.395680000000001E-4;33.922716864;5.759751072;3046.3855918560002;1.431118089289E12;79293.58648487627;62837.170506964794;12.143053424000001;2268.453482032;7.2720244512E10
0.0;0.0;2.9103830456733704E-11;2.8175371677677357E-16;0.0;0.0;0.002053024;34.38746728;0.13957676800000002;3362.0555988160004;1.431121135942E12;62593.16756210938;61532.36694791386;12.36842552;2268.4544216;3.945511536E10
0.0;2.9103830456733704E-11;4.3655745685100555E-11;4.637675561421179E-16;3.0917837076141197E-16;0.0;9.685920000000001E-4;29.16531064;0.9620529760000001;3107.2803962720004;1.4311244982E12;45809.804566786406;45136.64090793162;11.563166704;2268.4564746240003;7.140873672E10
0.0;0.0;2.9103830456733704E-11;3.0489812882680515E-16;0.0;0.0;0.001810224;31.780905376000003;0.147041776;3237.122634016;1.431127605662E12;47331.787784137494;47332.840298933654;13.805704128;2268.4574432160002;4.4058877104E10
0.0;2.9103830456733704E-11;5.820766091346741E-11;5.909723015011824E-16;2.954861507505912E-16;0.0;0.0018487360000000001;37.744545792000004;1.3507836960000001;3240.1987082240003;1.431130842948E12;53149.86100376225;52713.33511852685;13.64051296;2268.4592534400003;8.526111768E10
0.0;1.4551915228366852E-11;5.820766091346741E-11;5.987946885921586E-16;1.4969867214803964E-16;0.0;0.00205352;37.454165520000004;0.12713764800000002;;;50497.95773808704;50414.968021554276;13.006420896000002;2268.461102176;4.520943456E10
0.0;1.4551915228366852E-11;1.4551915228366852E-11;1.5363688125695838E-16;1.5363688125695838E-16;0.0;0.002031408;34.552787792000004;1.322290384;;;46118.72203327409;46105.51062391961;11.993552976;2268.4631556960003;9.1467056128E10
0.0;1.4551915228366852E-11;5.820766091346741E-11;6.462613310017936E-16;1.615653327504484E-16;0.0;0.001822304;27.25452032;0.124947232;;;39367.36563316474;38519.349990688;8.801881136;2268.465187104;4.2801806192E10
0.0;0.0;1.4551915228366852E-11;1.5999919532742262E-16;0.0;0.0;0.0023881600000000003;30.523659168000002;1.126143488;;;40009.64629700634;39944.87377151791;12.090302176000002;2268.467009408;8.385253016E10
0.0;1.4551915228366852E-11;4.3655745685100555E-11;4.679748642484963E-16;1.5599162141616544E-16;0.0;0.002247088;32.828009088;0.146602752;;;43861.136401982054;43731.32294258692;13.752242624;2268.469397568;4.276415896E10
9.094947017729282E-13;1.4551915228366852E-11;2.9103830456733704E-11;3.0471175206996895E-16;1.5235587603498448E-16;1.602238695240616E-16;0.0019182720000000002;37.028600624;0.998361072;;;47434.257618493;47432.703048819916;18.016809392000003;2268.471644656;7.1824859168E10
9.094947017729282E-13;1.4551915228366852E-11;0.0;0.0;1.555156582439315E-16;1.771032439615149E-16;0.0018184000000000002;38.418055728000006;0.105142624;;;44634.28129540929;44203.610493730564;15.694713088;2268.4735629280003;4.0776383792E10
9.094947017729282E-13;0.0;2.9103830456733704E-11;3.298784019155298E-16;0.0;1.1334328914855246E-16;0.0018604480000000002;34.111796112;0.8745607360000001;;;35994.60022016257;35646.96923450267;14.234611632;2268.4753813280004;7.0889645328E10
0.0;0.0;1.4551915228366852E-11;1.575271506443033E-16;0.0;0.0;0.002018256;31.585074912000003;0.09752614400000001;;;42251.41232058846;42252.46046558817;13.385112304000002;2268.477241776;4.0015929728E10
1.8189894035458565E-12;4.3655745685100555E-11;4.3655745685100555E-11;4.640847323649569E-16;4.640847323649569E-16;1.9523685940313417E-16;0.002026;35.712332;0.869839392;;;45226.131095286684;45030.270261773265;13.451428960000001;2268.479260032;8.4970957184E10
