AbstractionError;TopLevelViolation Abstracted;topLevelViolationActualRegioCentral;relativeTLViolationRegioCentral;topLevelViolationAbstractedRel;abstractionErrorRel;variableAbstraction;runtimePerStepRegioCentral;runtimePerAvppPerStep;Totalruntimeregiocentral;timestamps;Toplevelcostsregiocentral;Rootcostsregiocentral;Longest serial path;FixedAbstractionTimes;FixedAbstractionTimesPerAVPP
0.0;0.0;7.275957614183426E-11;6.996883084984907E-16;0.0;0.0;0.016284912000000002;35.499741664000005;7.023846304;3316.989433728;1.431097633411E12;76611.02782643656;62652.681117299355;17.937837424;2691.981939696;8.6797634384E10
0.0;1.4551915228366852E-11;7.275957614183426E-11;7.043842919419339E-16;1.4087685838838678E-16;0.0;0.014573024;31.390022208;0.11461881600000001;3609.0381304800003;1.431100950927E12;61988.0629862016;61348.097345962866;11.64779096;2691.9982246080003;5.980419368E10
0.0;1.4551915228366852E-11;1.4551915228366852E-11;1.5458918538070599E-16;1.5458918538070599E-16;0.0;0.011697200000000001;27.462416912000002;1.17093704;3489.6180813280002;1.431104560138E12;45271.1004422611;44991.384867996916;9.135498400000001;2692.012797632;8.9894747296E10
0.0;2.9103830456733704E-11;1.4551915228366852E-11;1.5244906441340258E-16;3.0489812882680515E-16;0.0;0.011921792;25.683710416;0.126835152;3500.920897536;1.431108049927E12;47173.495175188844;47185.00456749743;7.771030496000001;2692.024494832;6.190123448E10
0.0;4.3655745685100555E-11;4.3655745685100555E-11;4.432292261258868E-16;4.432292261258868E-16;0.0;0.00499648;25.737068768;1.265526992;4078.1837271840004;1.431111550979E12;52772.3681263799;52539.391770516435;7.590431296;2692.036416624;9.5558859248E10
0.0;1.4551915228366852E-11;0.0;0.0;1.4969867214803964E-16;0.0;0.004525408;25.718113648000003;0.12056704000000001;;;50292.127768382066;50234.41738749723;8.311030768;2692.041413104;5.8058575648E10
0.0;2.9103830456733704E-11;0.0;0.0;3.0727376251391676E-16;0.0;0.004194688;25.882473088;1.5424537280000001;;;45952.302395192;45960.76870311768;8.453484944000001;2692.0459385120002;9.7182911152E10
0.0;1.4551915228366852E-11;1.4551915228366852E-11;1.615653327504484E-16;1.615653327504484E-16;0.0;0.003799904;28.093031264;0.11762486400000001;;;38866.442616726104;38470.4841870399;11.239126032000001;2692.0501332000003;6.4540261456E10
0.0;1.4551915228366852E-11;1.4551915228366852E-11;1.5999919532742262E-16;1.5999919532742262E-16;0.0;0.0036368000000000004;26.338698256;1.022019072;;;39853.76059216942;39873.321470564624;9.084159040000001;2692.053933104;9.216074856E10
0.0;2.9103830456733704E-11;2.9103830456733704E-11;3.119832428323309E-16;3.119832428323309E-16;0.0;0.003443184;24.462429584000002;0.128778416;;;43588.736225078304;43600.245617386914;7.636441984;2692.057569904;5.9274264384E10
9.094947017729282E-13;2.9103830456733704E-11;1.4551915228366852E-11;1.5235587603498448E-16;3.0471175206996895E-16;1.6022386952406171E-16;0.00286768;24.762058544000002;0.978555264;;;47270.65565312163;47279.60758905392;8.04165712;2692.061013088;8.3652592848E10
9.094947017729282E-13;0.0;1.4551915228366852E-11;1.555156582439315E-16;0.0;1.7068645976001088E-16;0.0023079520000000003;24.305133104000003;0.079533872;;;44374.66581251512;44062.397235558456;7.7005004800000005;2692.063880768;5.5785233472E10
0.0;0.0;2.9103830456733704E-11;3.298784019155298E-16;0.0;0.0;0.002227232;24.707450496;0.946956144;;;35961.45120523088;35643.703590482175;8.061593232;2692.0661887200004;8.3586562608E10
9.094947017729282E-13;0.0;1.4551915228366852E-11;1.575271506443033E-16;0.0;2.0297354544248293E-16;0.00217512;24.977353504;0.098745232;;;42116.8036372126;42128.313029521196;8.499105888;2692.068415952;5.658201056E10
0.0;0.0;1.4551915228366852E-11;1.54694910788319E-16;0.0;0.0;0.0015105600000000002;25.14634032;0.803979632;;;44872.99977036596;44884.392948301414;7.516824464000001;2692.0705910720003;9.6332950944E10
0.0;1.4551915228366852E-11;1.4551915228366852E-11;1.5643579014607897E-16;1.5643579014607897E-16;0.0;0.009988416;23.439187232000002;0.128088944;;;43183.29892651135;43171.502549926576;6.9128349280000005;2692.0721016320003;6.4861187264E10
0.0;0.0;4.3655745685100555E-11;5.005809870731651E-16;0.0;0.0;0.0023355200000000002;23.46857216;1.231779184;;;34547.59395556573;34152.165880879555;7.492670704000001;2692.0820900480003;8.1709187088E10
0.0;1.4551915228366852E-11;1.4551915228366852E-11;1.572061358143284E-16;1.572061358143284E-16;0.0;0.0019499040000000001;26.215180816;0.11236939200000001;;;42422.14575159555;42433.655143904136;10.596116576;2692.0844255680004;6.215713608E10
0.0;1.4551915228366852E-11;0.0;0.0;1.5283997242795342E-16;0.0;0.002039424;24.489440608000002;1.113171184;;;46765.1264160147;46776.50039091902;8.278896576000001;2692.0863754720003;7.9114387056E10
0.0;2.9103830456733704E-11;1.4551915228366852E-11;1.518766049389596E-16;3.037532098779192E-16;0.0;0.002018928;24.316042640000003;0.13965739200000002;;;47769.46497620318;47780.974368511765;7.620764768000001;2692.0884148960004;5.9013260416E10
0.0;1.4551915228366852E-11;1.4551915228366852E-11;1.528732607175836E-16;1.528732607175836E-16;0.0;0.002039024;24.696285824;1.014111024;;;46730.65723743356;46741.99363266334;8.332090800000001;2692.0904338240002;9.660310864E10
0.0;1.4551915228366852E-11;0.0;0.0;1.5157950615356023E-16;0.0;0.002030192;22.884896528000002;0.108285536;;;48090.034288866314;48100.495087210635;6.841046304000001;2692.092472848;6.1636691216E10
0.0;0.0;1.4551915228366852E-11;1.4937551920518015E-16;0.0;0.0;0.002015792;27.581903264;0.9644825600000001;;;50663.735137831514;50605.703006946685;10.184074928000001;2692.0945030400003;9.2982683056E10
1.8189894035458565E-12;1.4551915228366852E-11;1.4551915228366852E-11;1.5250610202709184E-16;1.5250610202709184E-16;2.014537692485817E-16;0.0020276160000000003;27.708760416;0.10710776000000001;;;47115.70741179651;47127.2168041051;10.781237904000001;2692.096518832;5.954317896E10
0.0;1.4551915228366852E-11;0.0;0.0;1.2720952380642797E-16;0.0;0.0018804160000000002;30.279416480000002;1.4123036320000002;;;117006.96299221863;103477.09368046306;11.683879488;2692.098546448;1.0951271256E11
