AbstractionError;TopLevelViolation Abstracted;topLevelViolationActualRegioCentral;relativeTLViolationRegioCentral;topLevelViolationAbstractedRel;abstractionErrorRel;variableAbstraction;runtimePerStepRegioCentral;runtimePerAvppPerStep;Totalruntimeregiocentral;timestamps;Toplevelcostsregiocentral;Rootcostsregiocentral;Longest serial path;FixedAbstractionTimes;FixedAbstractionTimesPerAVPP
0.0;1.4551915228366852E-11;5.820766091346741E-11;5.597506467987925E-16;1.3993766169969814E-16;0.0;0.013781088;25.926367936000002;7.2013746240000005;2928.719588672;1.431433247627E12;77024.89601320389;62645.9590713643;8.790172512;2322.0224852320002;7.523764224E10
0.0;1.4551915228366852E-11;2.9103830456733704E-11;2.8175371677677357E-16;1.4087685838838678E-16;0.0;0.014227696000000001;29.086342336;0.130437264;3304.7445662080004;1.431436176678E12;62427.339571034405;61341.15551231342;10.341347728;2322.0362663200003;5.1005892992E10
0.0;2.9103830456733704E-11;5.820766091346741E-11;6.183567415228239E-16;3.0917837076141197E-16;0.0;0.011427296;25.906992288;0.9728602080000001;3157.2701531840003;1.431439481637E12;45474.87920143268;45018.364807040605;7.932114544000001;2322.0504940160004;7.7225553952E10
0.0;1.4551915228366852E-11;2.9103830456733704E-11;3.0489812882680515E-16;1.5244906441340258E-16;0.0;0.007965744;27.419053968;0.10624316800000001;3221.4506431520003;1.431442639113E12;47213.71918285629;47214.77320157422;9.82678512;2322.0619213120003;5.1652824608E10
0.0;1.4551915228366852E-11;4.3655745685100555E-11;4.432292261258868E-16;1.477430753752956E-16;0.0;0.0046599200000000006;28.525851392000003;0.90263024;3112.0082727840004;1.431445860736E12;52631.75191625602;52512.35234127237;9.527565536000001;2322.069887056;8.5541990304E10
0.0;0.0;2.9103830456733704E-11;2.993973442960793E-16;0.0;0.0;0.004499264;25.081134928;0.120260528;;;50271.72066586088;50226.898795190544;7.434356912;2322.074546976;5.1588422544E10
0.0;1.4551915228366852E-11;2.9103830456733704E-11;3.0727376251391676E-16;1.5363688125695838E-16;0.0;0.004235376;26.28587776;1.46853736;;;46053.546707031834;45987.78822661559;9.267246256;2322.07904624;8.7938000912E10
0.0;2.9103830456733704E-11;2.9103830456733704E-11;3.231306655008968E-16;3.231306655008968E-16;0.0;0.0041639680000000005;24.574434624000002;0.156323136;;;38911.68574380464;38529.5596323974;7.395981040000001;2322.083281616;5.1975267056E10
0.0;1.4551915228366852E-11;4.3655745685100555E-11;4.799975859822679E-16;1.5999919532742262E-16;0.0;0.0018331360000000002;24.365691536;1.0492235680000002;;;39970.04403299548;39925.756769732194;6.851450432;2322.0874455840003;8.2642728736E10
0.0;0.0;5.820766091346741E-11;6.239664856646618E-16;0.0;0.0;0.003206032;25.628389072;0.10690355200000001;;;43627.69550426305;43628.74364926275;8.398944736;2322.08927872;5.5241595216E10
9.094947017729282E-13;0.0;4.3655745685100555E-11;4.5706762810495345E-16;0.0;1.6094886440878597E-16;0.003415312;25.585611856;1.113675296;;;47379.43910325584;47311.837480991366;7.944207840000001;2322.092484752;7.3924450016E10
