topLevelViolationActualCentral;relativeTLViolationCentral;runtimePerStepCentral;unsolvedCentralAllocations;Totalruntimecentral;timestamps;Toplevelcostscentral
1.4551915228366852E-11;1.7229019193421592E-16;1802.1580863200002;0.0;;;73060.82458631133
2.9103830456733704E-11;3.3981003920291106E-16;55.302754736000004;0.0;;;75634.70390452076
0.0;0.0;23.406052112;0.0;;;81785.14292535155
0.0;0.0;21.709390496;0.0;;;79182.75385124567
4.3655745685100555E-11;5.136865369335854E-16;12.109787616;0.0;;;74159.08753665365
1.4551915228366852E-11;1.8006513266801803E-16;23.399490368000002;0.0;;;64853.227757429864
2.9103830456733704E-11;3.5663933402550123E-16;1801.589324832;0.0;;;66601.20029526847
2.9103830456733704E-11;3.4770642363949334E-16;1801.936010048;0.0;;;71279.61452555087
4.3655745685100555E-11;5.094034824794231E-16;1802.0659856000002;0.0;;;75754.9151332745
4.3655745685100555E-11;5.199682475796094E-16;13.70738184;0.0;;;71896.60047747532
2.9103830456733704E-11;3.676506412525558E-16;48.166202672000004;0.0;;;61177.34829305697
4.3655745685100555E-11;5.266936936062843E-16;17.24262312;0.0;;;69457.77812055469
2.9103830456733704E-11;3.448160465444373E-16;14.072891392;0.0;;;72848.29761302909
1.4551915228366852E-11;1.7434823942866015E-16;17.675762624;0.0;;;70798.3311802431
1.4551915228366852E-11;1.8596642459821068E-16;9.496191280000001;0.0;;;59225.3580462027
2.9103830456733704E-11;3.50413584760877E-16;20.236009600000003;0.0;;;69835.70533308263
2.9103830456733704E-11;3.4068137591268657E-16;13.268907536;0.0;;;75138.71020835188
2.9103830456733704E-11;3.385340230139084E-16;25.973464304;0.0;;;76361.36860550535
2.9103830456733704E-11;3.407555757440531E-16;64.15059947200001;0.0;;;75097.09175571562
4.3655745685100555E-11;5.068076816019592E-16;53.466169888;0.0;;;76742.10441035013
2.9103830456733704E-11;3.329590853464991E-16;18.715475104000003;0.0;;;79609.53344320503
0.0;0.0;15.282305216000001;0.0;;;75567.44529826257
8.731149137020111E-11;7.687644880255985E-16;51.31174448;0.0;;;78024.19351386021
4.3655745685100555E-11;3.869620393529719E-16;58.358294048000005;0.0;;;66734.50826021696
5.820766091346741E-11;5.661696043817369E-16;8.73330376;0.0;;;48964.55087425396
2.9103830456733704E-11;2.791657976797158E-16;8.404280032;0.0;;;51165.36080923892
4.3655745685100555E-11;4.0582223636183873E-16;13.370498368000002;0.0;;;57044.21783137598
2.9103830456733704E-11;2.741292600898361E-16;7.308057344000001;0.0;;;54559.42786663615
8.731149137020111E-11;8.44022808620393E-16;6.344831200000001;0.0;;;49767.06547435022
4.3655745685100555E-11;4.437893581933121E-16;8.520577888;0.0;;;41034.0099657572
7.275957614183426E-11;7.324791257713175E-16;86.62006428800001;0.0;;;42650.598293333045
5.820766091346741E-11;5.713059057705962E-16;68.723347696;0.0;;;47039.88668535266
5.820766091346741E-11;5.579903009363233E-16;16.521488624;0.0;;;51277.130191064585
7.275957614183426E-11;7.119534144736866E-16;12.033149712;0.0;;;47668.92385588418
4.3655745685100555E-11;4.530567348348578E-16;59.764618032;0.0;;;37655.36959491404
5.820766091346741E-11;5.769296495323403E-16;59.62368145600001;0.0;;;45331.212259582244
4.3655745685100555E-11;4.2491761094711996E-16;18.651785552;0.0;;;48513.52224383941
8.731149137020111E-11;8.593989533265901E-16;23.9147484;0.0;;;46744.95503639972
1.4551915228366852E-11;1.52777903197351E-16;6.862067184000001;0.0;;;35829.825981452406
1.0186340659856796E-10;1.0075694305615891E-15;11.046600096;0.0;;;45685.17807815093
2.9103830456733704E-11;2.798816311751324E-16;11.005099936;0.0;;;50697.99393555306
2.3283064365386963E-10;2.2249400470297093E-15;41.445646336;0.0;;;51854.53312509015
4.3655745685100555E-11;4.1991388338653894E-16;17.163134576;0.0;;;50658.51926855355
1.4551915228366852E-11;1.387867282504983E-16;54.70056356800001;0.0;;;52222.5139656092
1.4551915228366852E-11;1.3676875007812134E-16;12.436140768000001;0.0;;;54958.39658857731
5.820766091346741E-11;5.585404907151597E-16;1801.3001933280002;0.0;;;51118.41880109255
