AbstractionError;TopLevelViolation Abstracted;topLevelViolationActualRegioCentral;relativeTLViolationRegioCentral;topLevelViolationAbstractedRel;abstractionErrorRel;variableAbstraction;runtimePerStepRegioCentral;runtimePerAvppPerStep;Totalruntimeregiocentral;timestamps;Toplevelcostsregiocentral;Rootcostsregiocentral;Longest serial path;FixedAbstractionTimes;FixedAbstractionTimesPerAVPP
0.0;2.9103830456733704E-11;1.1641532182693481E-10;1.119501293597585E-15;2.7987532339939627E-16;0.0;0.00171656;37.010142848;6.600894672000001;2497.7374627040003;1.431525979765E12;78811.03144247836;62893.557174933754;13.592891552000001;1730.407555408;5.6580476368E10
9.094947017729282E-13;0.0;2.9103830456733704E-11;2.8175371677677357E-16;0.0;1.1423928352917356E-16;0.0018436000000000001;49.72713104;0.16642926400000002;2634.7899920480004;1.431528477932E12;62054.56209311106;61581.11717184612;29.452860992;1730.4092719680002;3.2733025808E10
0.0;4.3655745685100555E-11;5.820766091346741E-11;6.183567415228239E-16;4.637675561421179E-16;0.0;0.002003168;28.981663952;1.056087856;2383.421983472;1.431531113101E12;46558.783954865066;45311.40281659359;8.660709312;1730.411115568;5.6744676592E10
0.0;0.0;1.4551915228366852E-11;1.5244906441340258E-16;0.0;0.0;0.0020637760000000002;34.00158288;0.12395363200000001;2436.80258;1.431533496858E12;47500.28711262849;47515.84011982;14.346431232;1730.4131187360001;3.5401381376E10
0.0;1.4551915228366852E-11;5.820766091346741E-11;5.909723015011824E-16;1.477430753752956E-16;0.0;0.002017632;32.32101432;1.230943632;2464.792839824;1.431535933983E12;52983.58311573681;52771.02771776985;10.821925680000001;1730.415182512;6.649132472E10
0.0;0.0;1.4551915228366852E-11;1.4969867214803964E-16;0.0;0.0;0.001791264;28.169661488000003;0.14481876800000001;;;50853.949050964766;50483.81655224419;8.02599464;1730.4172001440002;3.5921651648E10
0.0;0.0;0.0;0.0;0.0;0.0;0.0017803200000000002;31.687674416000004;1.4887075520000002;;;46301.737524288656;46281.49536843039;12.10202832;1730.418991408;6.8364333616E10
0.0;0.0;2.9103830456733704E-11;3.231306655008968E-16;0.0;0.0;0.0019916;32.537567264;0.121633952;;;39346.246925406966;38738.02290901746;12.769677184;1730.420771728;3.4312883408E10
0.0;1.4551915228366852E-11;7.275957614183426E-11;7.999959766371131E-16;1.5999919532742262E-16;0.0;0.002024368;31.369718544;1.246211792;;;40206.16065375617;40122.089216455635;11.299106512;1730.4227633280002;6.4111430704E10
0.0;1.4551915228366852E-11;1.4551915228366852E-11;1.5599162141616544E-16;1.5599162141616544E-16;0.0;0.001988688;36.242632752000006;0.148963216;;;43901.73524671048;43904.862692289295;13.397104016;1730.424787696;3.7851319872E10
9.094947017729282E-13;2.9103830456733704E-11;4.3655745685100555E-11;4.5706762810495345E-16;3.0471175206996895E-16;1.6022386952406157E-16;0.001991248;32.922755968000004;1.066676992;;;47653.07795355826;47616.52007807043;13.29778688;1730.426776384;5.6490979408E10
9.094947017729282E-13;1.4551915228366852E-11;2.9103830456733704E-11;3.11031316487863E-16;1.555156582439315E-16;1.6727892608059133E-16;0.0019952;31.013618448000003;0.100836144;;;44447.83337832101;44381.63946326529;11.439851904000001;1730.428767632;3.23659168E10
9.094947017729282E-13;1.4551915228366852E-11;4.3655745685100555E-11;4.948176028732947E-16;1.649392009577649E-16;1.1423928352917354E-16;0.0020005120000000003;31.049083664;0.996198672;;;36187.69288667905;35857.2526443196;10.393237968000001;1730.430762832;5.5721159824E10
0.0;1.4551915228366852E-11;2.9103830456733704E-11;3.150543012886066E-16;1.575271506443033E-16;0.0;0.0025535040000000003;31.573106752;0.10741400000000001;;;42427.798611889564;42424.87581825702;11.748075632;1730.432763344;3.2639968592E10
1.8189894035458565E-12;4.3655745685100555E-11;5.820766091346741E-11;6.18779643153276E-16;4.640847323649569E-16;2.1075043293891577E-16;0.0017839040000000002;32.451115472000005;1.3177356960000002;;;45239.40044730685;45204.44016377688;12.677819408000001;1730.4353168480002;6.4508115936E10
9.094947017729282E-13;1.4551915228366852E-11;2.9103830456733704E-11;3.1287158029215794E-16;1.5643579014607897E-16;1.8996177240357022E-16;0.00199;30.945721456;0.13364296;;;43476.97523115587;43468.06533866245;11.968760928;1730.437100752;3.3917717296E10
0.0;1.4551915228366852E-11;2.9103830456733704E-11;3.337206580487767E-16;1.6686032902438836E-16;0.0;0.001948272;32.44995152;1.2139759840000002;;;34640.540230943974;34312.714481752875;13.158026272;1730.439090752;5.64270648E10
9.094947017729282E-13;1.4551915228366852E-11;0.0;0.0;1.572061358143284E-16;1.4319219106556394E-16;0.0019748;32.288754992;0.132914752;;;42716.68826913732;42730.21793263999;13.347617248;1730.441039024;3.3487930864E10
9.094947017729282E-13;2.9103830456733704E-11;1.4551915228366852E-11;1.5283997242795342E-16;3.0567994485590684E-16;1.1106794646217291E-16;0.0017827840000000001;28.554030512;1.405544224;;;47089.28417611083;47103.11854003404;8.844683792000001;1730.4430138240002;5.468023112E10
