AbstractionError;TopLevelViolation Abstracted;topLevelViolationActualRegioCentral;relativeTLViolationRegioCentral;topLevelViolationAbstractedRel;abstractionErrorRel;variableAbstraction;runtimePerStepRegioCentral;runtimePerAvppPerStep;Totalruntimeregiocentral;timestamps;Toplevelcostsregiocentral;Rootcostsregiocentral;Longest serial path;FixedAbstractionTimes;FixedAbstractionTimesPerAVPP
0.0;0.0;4.3655745685100555E-11;4.198129850990944E-16;0.0;0.0;0.025085344000000002;28.161862672;5.562175216;2683.72168384;1.431511080929E12;77338.59891888281;62918.668783530564;11.548507776000001;2077.432067952;6.7470018848E10
0.0;1.4551915228366852E-11;1.4551915228366852E-11;1.4087685838838678E-16;1.4087685838838678E-16;0.0;0.014925792;26.158829488000002;0.118963968;2905.905901872;1.431513765054E12;61986.30433795523;61605.48137058497;7.587636720000001;2077.4571532960003;4.6688760448E10
0.0;0.0;2.9103830456733704E-11;3.0917837076141197E-16;0.0;0.0;0.011507424;26.709568608;0.953991664;2701.934268384;1.431516671249E12;46132.514655023595;45127.000209249425;8.26699872;2077.472079088;6.8107530352E10
0.0;1.4551915228366852E-11;0.0;0.0;1.5244906441340258E-16;0.0;0.012093424;26.372513248;0.12005067200000001;2787.6838908960003;1.431519373346E12;47323.00192333742;47324.0500683371;8.339233856;2077.4835865120003;4.7614033408E10
0.0;0.0;1.4551915228366852E-11;1.477430753752956E-16;0.0;0.0;0.012156208;28.065556544000003;1.1087508640000001;3818.2957873600003;1.431522161229E12;52718.48778225019;52719.53592724984;9.111245712;2077.495679936;7.5679636192E10
0.0;2.9103830456733704E-11;0.0;0.0;2.993973442960793E-16;0.0;0.004316;25.451250448000003;0.135018048;;;50605.8724287666;50388.224949942334;6.572563024000001;2077.507836144;4.7358339296E10
0.0;1.4551915228366852E-11;1.4551915228366852E-11;1.5363688125695838E-16;1.5363688125695838E-16;0.0;0.004389808;25.155445264;1.3400581440000001;;;46212.37840703367;46096.70554683502;7.180967600000001;2077.512152144;7.6488421552E10
0.0;0.0;0.0;0.0;0.0;0.0;0.004112704;25.114921664;0.10462344000000001;;;38955.91972106465;38590.828321440924;7.562470176000001;2077.5165419520004;5.3977291088E10
0.0;0.0;1.4551915228366852E-11;1.5999919532742262E-16;0.0;0.0;0.0035687680000000004;26.757666432;1.033578624;;;39952.2991717204;39953.27204672011;8.881380272000001;2077.5206546560003;7.4611259984E10
0.0;1.4551915228366852E-11;1.4551915228366852E-11;1.5599162141616544E-16;1.5599162141616544E-16;0.0;0.0033148960000000003;26.223991376;0.156530304;;;43737.754235603345;43723.62990718731;8.031335712;2077.524223424;4.7853923456E10
